item_category_id,item_cnt_day
2,43.0
3,119.00000000000001
5,13.0
6,84.0
7,28.0
9,112.0
11,1.0
12,56.0
15,8.0
16,9.0
19,677.0
20,606.0
21,42.0
22,64.0
23,569.0
24,79.00000000000001
25,28.0
26,0.0
28,387.0
29,33.0
30,1361.9999999999998
31,73.0
33,9.0
34,40.0
35,162.0
36,0.0
37,350.00000000000006
38,117.0
40,961.0
41,57.99999999999999
42,22.0
43,46.0
44,0.0
45,11.999999999999998
47,36.0
49,92.99999999999999
54,34.0
55,1105.0
56,21.0
57,79.00000000000001
58,30.0
60,2.9999999999999996
61,30.0
62,37.0
63,177.0
64,158.00000000000003
65,235.0
67,109.0
69,61.00000000000001
70,119.00000000000001
71,952.0000000000001
72,167.0
73,52.0
74,0.0
75,153.0
76,22.0
77,2.9999999999999996
78,4.0
79,84.0
83,64.0
